policy_gradient_wx.py:163: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:278.)
  state = torch.tensor(state_list, dtype=torch.float).to(device)
/home/lixiang/.local/lib/python3.8/site-packages/gym/logger.py:30: UserWarning: [33mWARN: You are calling 'step()' even though this environment has already returned done = True. You should always call 'reset()' once you receive 'done = True' -- any further steps are undefined behavior.[0m
  warnings.warn(colorize('%s: %s'%('WARN', msg % args), 'yellow'))
policy_gradient_wx.py:105: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  action = torch.tensor(transition_dict['actions']).view(-1, 1).to(self.device)
Episode 0: Loss 206.19373995345086 dones_mean 22.4140625
Episode 1: Loss 181.61576896393672 dones_mean 21.359375
Episode 2: Loss 226.41218467941508 dones_mean 24.03125
Episode 3: Loss 180.561606625095 dones_mean 21.65625
Episode 4: Loss 191.23289332631975 dones_mean 21.7421875
Episode 5: Loss 189.5858308202587 dones_mean 21.7421875
Episode 6: Loss 179.8049113349989 dones_mean 21.734375
Episode 7: Loss 181.91737411124632 dones_mean 22.1328125
Episode 8: Loss 185.65112846484408 dones_mean 22.421875
Episode 9: Loss 178.21432206733152 dones_mean 21.2890625
Episode 10: Loss 185.2437550467439 dones_mean 21.671875
Episode 11: Loss 201.90765009401366 dones_mean 23.703125
Episode 12: Loss 184.39061234984547 dones_mean 22.5390625
Episode 13: Loss 183.77703358558938 dones_mean 23.125
Episode 14: Loss 198.40172620583326 dones_mean 23.984375
Episode 15: Loss 188.67182625224814 dones_mean 22.53125
Episode 16: Loss 220.50567045807838 dones_mean 24.59375
Episode 17: Loss 155.79115436552092 dones_mean 20.4921875
Episode 18: Loss 175.12112896284088 dones_mean 21.71875
Episode 19: Loss 163.8646250325255 dones_mean 21.640625
Episode 20: Loss 173.2517265714705 dones_mean 22.0546875
Episode 21: Loss 188.9548470703885 dones_mean 23.1796875
Episode 22: Loss 143.9201734517701 dones_mean 21.3046875
Episode 23: Loss 113.98318674135953 dones_mean 23.1171875
Episode 24: Loss 129.2289092731662 dones_mean 20.3359375
Episode 25: Loss 176.9830155535601 dones_mean 22.2578125
Episode 26: Loss 164.6301164077595 dones_mean 22.765625
Episode 27: Loss 158.2542562680319 dones_mean 23.71875
Episode 28: Loss 179.6946736271493 dones_mean 24.03125
Episode 29: Loss 192.40943804336712 dones_mean 24.203125
Episode 30: Loss 200.63493838813156 dones_mean 23.78125
Episode 31: Loss 149.12581428838894 dones_mean 21.828125
Episode 32: Loss 108.03619031002745 dones_mean 21.8359375
Episode 33: Loss 122.78835755260661 dones_mean 22.2109375
Episode 34: Loss 161.73482398875058 dones_mean 24.2890625
Episode 35: Loss 131.4487476684153 dones_mean 21.34375
Episode 36: Loss 149.60621849028394 dones_mean 21.9921875
Episode 37: Loss 154.0951880980283 dones_mean 23.25
Episode 38: Loss 158.19789187517017 dones_mean 22.84375
Episode 39: Loss 159.69256236683577 dones_mean 23.1875
Episode 40: Loss 90.64488224219531 dones_mean 21.546875
Episode 41: Loss 159.73054794222116 dones_mean 24.6015625
Episode 42: Loss 94.76369455922395 dones_mean 23.0078125
Episode 43: Loss 102.15428541880101 dones_mean 24.546875
Episode 44: Loss 162.59863008651882 dones_mean 25.0390625
Episode 45: Loss 160.6051800600253 dones_mean 22.7109375
Episode 46: Loss 170.40700437966734 dones_mean 23.1484375
Episode 47: Loss 186.83370052929968 dones_mean 24.203125
Episode 48: Loss 109.52715554367751 dones_mean 25.390625
Episode 49: Loss 139.20637856191024 dones_mean 23.421875
Episode 50: Loss 159.57972113601863 dones_mean 24.109375
Episode 51: Loss 202.12929220171645 dones_mean 25.21875
Episode 52: Loss 189.52191511308774 dones_mean 24.4765625
Episode 53: Loss 194.75307916663587 dones_mean 27.0546875
Episode 54: Loss 196.34846217324957 dones_mean 25.0546875
Episode 55: Loss 226.34625293966383 dones_mean 26.328125
Episode 56: Loss 233.76210500113666 dones_mean 27.2421875
Episode 57: Loss 246.37007173895836 dones_mean 27.7890625
Episode 58: Loss 183.4827439673245 dones_mean 24.71875
Episode 59: Loss 180.50664706807584 dones_mean 26.4140625
Episode 60: Loss 187.29989712312818 dones_mean 26.8671875
Episode 61: Loss 201.85773148899898 dones_mean 25.890625
Episode 62: Loss 210.30111718550324 dones_mean 28.5
Episode 63: Loss 90.2412279183045 dones_mean 28.0234375
Episode 64: Loss 215.147680811584 dones_mean 26.40625
Episode 65: Loss 181.59703167760745 dones_mean 24.921875
Episode 66: Loss 187.67205064790323 dones_mean 29.328125
Episode 67: Loss 182.61227752640843 dones_mean 26.7890625
Episode 68: Loss 77.09770287759602 dones_mean 26.9375
Episode 69: Loss 216.21203203080222 dones_mean 28.6328125
Episode 70: Loss 171.93871544813737 dones_mean 28.4609375
Episode 71: Loss 237.0383257730864 dones_mean 31.2578125
Episode 72: Loss 150.11105727031827 dones_mean 28.109375
Episode 73: Loss 200.78168040933087 dones_mean 28.5703125
Episode 74: Loss 208.31934593850747 dones_mean 29.0546875
Episode 75: Loss 197.13931442098692 dones_mean 27.984375
Episode 76: Loss 214.1732345437631 dones_mean 27.1328125
Episode 77: Loss 181.9951504971832 dones_mean 28.203125
Episode 78: Loss 245.8322336031124 dones_mean 30.9375
Episode 79: Loss 315.39234882965684 dones_mean 34.6484375
Episode 80: Loss 81.27365670446306 dones_mean 33.0703125
Episode 81: Loss 234.7482716566883 dones_mean 35.984375
Episode 82: Loss 259.1935588128399 dones_mean 31.53125
Episode 83: Loss 222.65917466813698 dones_mean 32.09375
Episode 84: Loss 201.4759204997681 dones_mean 29.1015625
Episode 85: Loss 237.83541799895465 dones_mean 31.625
Episode 86: Loss 263.1234178529121 dones_mean 32.7421875
Episode 87: Loss 181.7118597268127 dones_mean 32.2578125
Episode 88: Loss 260.6715142605826 dones_mean 31.9921875
Episode 89: Loss 259.07529299799353 dones_mean 37.1015625
Episode 90: Loss 302.4111096318811 dones_mean 33.0859375
Episode 91: Loss 297.1142634069547 dones_mean 33.1328125
Episode 92: Loss 157.63619905058295 dones_mean 31.0703125
Episode 93: Loss 206.03150963643566 dones_mean 34.0859375
Episode 94: Loss 208.4458260666579 dones_mean 33.2578125
Episode 95: Loss 242.64452791772783 dones_mean 34.59375
Episode 96: Loss 260.51945038558915 dones_mean 33.96875
Episode 97: Loss 247.5654196725227 dones_mean 31.546875
Episode 98: Loss 199.13804123178124 dones_mean 37.3046875
Episode 99: Loss 271.034764024429 dones_mean 35.609375
Episode 100: Loss 140.26627307664603 dones_mean 35.8125
Episode 101: Loss 195.27481105504557 dones_mean 39.0703125
Episode 102: Loss 270.540702059865 dones_mean 41.328125
Episode 103: Loss 226.51440161839128 dones_mean 44.640625
Episode 104: Loss 326.6379048791714 dones_mean 44.3046875
Episode 105: Loss 232.90651313122362 dones_mean 43.0
Episode 106: Loss 187.94731773994863 dones_mean 49.546875
Episode 107: Loss 211.46831203298643 dones_mean 51.0625
Episode 108: Loss 403.309056810569 dones_mean 48.2578125
Episode 109: Loss 277.1431719516404 dones_mean 43.6171875
Episode 110: Loss 352.33971795625985 dones_mean 52.390625
Episode 111: Loss 458.65065945871174 dones_mean 59.515625
Episode 112: Loss 393.0100048943423 dones_mean 64.6484375
Episode 113: Loss 250.40443293144926 dones_mean 58.3046875
Episode 114: Loss 377.1560768894851 dones_mean 63.90625
Episode 115: Loss 662.3535822825506 dones_mean 73.4140625
